timestamp,slug,strategy,pnl,fees,fills_rejected,orders,resolution,open_price,close_price,session_pnl
2026-04-19T23:40:00.122Z,btc-updown-5m-1776642000,snipe-v2,0.00,0.0000,0,0,UP,73895.54,73904.82,27.96
2026-04-19T23:50:00.171Z,btc-updown-5m-1776642600,snipe-v2,0.00,0.0000,1,0,UP,73921.77,73941.00,27.96
2026-04-19T23:59:50.381Z,btc-updown-5m-1776643200,snipe-v2,2.51,0.0899,0,1,DOWN,73950.56,73823.26,30.47
2026-04-20T00:05:00.187Z,btc-updown-5m-1776643500,snipe-v2,0.00,0.0000,1,0,UP,73793.74,74096.22,30.47
2026-04-20T00:14:50.344Z,btc-updown-5m-1776644100,snipe-v2,2.36,0.0900,0,1,UP,74092.98,74117.25,32.83
2026-04-20T00:19:50.407Z,btc-updown-5m-1776644400,snipe-v2,2.51,0.0899,0,1,UP,74070.36,74168.14,35.34
2026-04-20T00:24:51.354Z,btc-updown-5m-1776644700,snipe-v2,2.51,0.0899,0,1,UP,74166.01,74274.48,37.85
2026-04-20T00:30:00.157Z,btc-updown-5m-1776645000,snipe-v2,0.00,0.0000,1,0,DOWN,74274.19,74260.94,37.85
2026-04-20T00:40:00.138Z,btc-updown-5m-1776645600,snipe-v2,0.00,0.0000,1,0,DOWN,74249.01,74191.99,37.85
2026-04-20T00:50:00.221Z,btc-updown-5m-1776646200,snipe-v2,0.00,0.0000,1,0,UP,74206.22,74273.83,37.85
2026-04-20T00:59:52.611Z,btc-updown-5m-1776646800,snipe-v2,2.41,0.0900,0,1,UP,74324.00,74339.41,40.26
2026-04-20T01:05:00.160Z,btc-updown-5m-1776647100,snipe-v2,0.00,0.0000,1,0,UP,74289.56,74317.96,40.26
2026-04-20T01:14:50.417Z,btc-updown-5m-1776647700,snipe-v2,2.26,0.0897,0,1,UP,74319.08,74368.84,42.52
2026-04-20T01:19:50.437Z,btc-updown-5m-1776648000,snipe-v2,3.12,0.0829,0,1,DOWN,74390.60,74299.70,45.64
2026-04-20T01:25:00.130Z,btc-updown-5m-1776648300,snipe-v2,0.00,0.0000,1,0,DOWN,74309.87,74254.94,45.64
2026-04-20T01:35:00.176Z,btc-updown-5m-1776648900,snipe-v2,0.00,0.0000,1,0,UP,74325.52,74641.88,45.64
2026-04-20T01:45:00.118Z,btc-updown-5m-1776649500,snipe-v2,0.00,0.0000,1,0,UP,74631.88,74709.69,45.64
2026-04-20T01:55:00.141Z,btc-updown-5m-1776650100,snipe-v2,0.00,0.0000,1,0,DOWN,74750.00,74723.51,45.64
2026-04-20T02:04:50.537Z,btc-updown-5m-1776650700,snipe-v2,2.36,0.0900,0,1,DOWN,74603.29,74525.03,48.00
2026-04-20T02:10:00.149Z,btc-updown-5m-1776651000,snipe-v2,0.00,0.0000,1,0,UP,74528.34,74584.54,48.00
2026-04-20T02:20:00.196Z,btc-updown-5m-1776651600,snipe-v2,0.00,0.0000,1,0,DOWN,74425.33,74406.28,48.00
2026-04-20T02:29:59.221Z,btc-updown-5m-1776652200,snipe-v2,0.00,0.0000,0,0,UP,74482.44,74484.44,48.00
